date;stationID;typeflag
01/16/2024 21:03:28;1Live;start_of_ad
01/16/2024 21:03:37;BAYERN 1;start_of_ad
01/16/2024 21:03:37;WDR 2;start_of_ad
01/16/2024 21:03:45;Antenne AC;start_of_ad
01/16/2024 21:03:53;BremenNext;end_of_ad
01/16/2024 21:03:57;BremenNext;start_of_ad
01/16/2024 21:04:00;1Live;end_of_ad
01/16/2024 21:04:05;1Live;start_of_ad
01/16/2024 21:04:19;1Live;end_of_ad
01/16/2024 21:04:24;BremenNext;end_of_ad
01/16/2024 21:04:28;1Live;start_of_ad
01/16/2024 21:04:33;BremenNext;start_of_ad
01/16/2024 21:04:42;1Live;end_of_ad
01/16/2024 21:04:47;1Live;start_of_ad
01/16/2024 21:04:55;BremenNext;end_of_ad
01/16/2024 21:04:59;BremenNext;start_of_ad
01/16/2024 21:05:04;100,5;start_of_ad
01/16/2024 21:05:22;BremenNext;end_of_ad
01/16/2024 21:05:37;1Live;end_of_ad
01/16/2024 21:05:41;1Live;start_of_ad
01/16/2024 21:05:49;BremenNext;start_of_ad
01/16/2024 21:06:00;1Live;end_of_ad
01/16/2024 21:06:00;Radio RST;end_of_ad_artificial
01/16/2024 21:06:00;Antenne AC;end_of_ad_artificial
01/16/2024 21:06:01;BAYERN 1;end_of_ad_artificial
01/16/2024 21:06:02;WDR 2;end_of_ad_artificial
01/16/2024 21:06:07;BremenNext;end_of_ad
01/16/2024 21:06:15;BremenNext;start_of_ad
01/16/2024 21:06:18;1Live;start_of_ad
01/16/2024 21:06:32;1Live;end_of_ad
01/16/2024 21:06:38;BremenNext;end_of_ad
01/16/2024 21:06:42;1Live;start_of_ad
01/16/2024 21:06:51;BremenNext;start_of_ad
01/16/2024 21:07:13;BremenNext;end_of_ad
01/16/2024 21:07:18;BremenNext;start_of_ad
01/16/2024 21:07:31;BremenNext;end_of_ad
01/16/2024 21:07:37;1Live;end_of_ad
01/16/2024 21:07:46;1Live;start_of_ad
01/16/2024 21:08:03;100,5;end_of_ad_artificial
01/16/2024 21:08:15;BremenNext;start_of_ad
01/16/2024 21:08:29;BremenNext;end_of_ad
01/16/2024 21:08:37;1Live;end_of_ad
01/16/2024 21:08:37;BremenNext;start_of_ad
01/16/2024 21:08:42;1Live;start_of_ad
01/16/2024 21:09:00;1Live;end_of_ad
01/16/2024 21:09:09;BremenNext;end_of_ad
01/16/2024 21:09:18;1Live;start_of_ad
01/16/2024 21:09:31;BremenNext;start_of_ad
01/16/2024 21:09:54;1Live;end_of_ad
01/16/2024 21:09:58;1Live;start_of_ad
01/16/2024 21:10:06;BremenNext;end_of_ad
01/16/2024 21:10:12;1Live;end_of_ad
01/16/2024 21:10:16;BremenNext;start_of_ad
01/16/2024 21:10:17;1Live;start_of_ad
01/16/2024 21:10:30;1Live;end_of_ad
01/16/2024 21:10:43;1Live;start_of_ad
01/16/2024 21:10:55;BremenNext;end_of_ad
01/16/2024 21:11:02;1Live;end_of_ad
01/16/2024 21:11:09;BAYERN 1;start_of_ad
01/16/2024 21:11:13;Antenne AC;start_of_ad
01/16/2024 21:11:14;1Live;start_of_ad
01/16/2024 21:11:15;WDR 2;start_of_ad
01/16/2024 21:11:17;Radio RST;start_of_ad
01/16/2024 21:11:26;BremenNext;start_of_ad
01/16/2024 21:12:06;BremenNext;end_of_ad
01/16/2024 21:12:33;1Live;end_of_ad
01/16/2024 21:12:38;BremenNext;start_of_ad
01/16/2024 21:12:47;1Live;start_of_ad
01/16/2024 21:13:01;1Live;end_of_ad
01/16/2024 21:13:07;100,5;start_of_ad
01/16/2024 21:13:19;1Live;start_of_ad
01/16/2024 21:13:42;1Live;end_of_ad
01/16/2024 21:13:51;1Live;start_of_ad
01/16/2024 21:14:00;BAYERN 1;end_of_ad_artificial
01/16/2024 21:14:01;WDR 2;end_of_ad_artificial
01/16/2024 21:14:03;Antenne AC;end_of_ad_artificial
01/16/2024 21:14:03;Radio RST;end_of_ad_artificial
01/16/2024 21:14:09;1Live;end_of_ad
01/16/2024 21:14:15;BremenNext;end_of_ad
01/16/2024 21:14:33;1Live;start_of_ad
01/16/2024 21:14:37;BremenNext;start_of_ad
01/16/2024 21:14:56;1Live;end_of_ad
01/16/2024 21:15:01;1Live;start_of_ad
01/16/2024 21:15:04;BremenNext;end_of_ad
01/16/2024 21:15:27;BremenNext;start_of_ad
01/16/2024 21:15:28;1Live;end_of_ad
01/16/2024 21:15:42;1Live;start_of_ad
01/16/2024 21:15:56;1Live;end_of_ad
01/16/2024 21:16:00;1Live;start_of_ad
01/16/2024 21:16:02;100,5;end_of_ad_artificial
01/16/2024 21:16:06;BremenNext;end_of_ad
01/16/2024 21:16:11;BremenNext;start_of_ad
01/16/2024 21:16:24;BremenNext;end_of_ad
01/16/2024 21:16:38;BremenNext;start_of_ad
01/16/2024 21:16:47;1Live;end_of_ad
01/16/2024 21:16:51;BremenNext;end_of_ad
01/16/2024 21:16:51;1Live;start_of_ad
01/16/2024 21:17:10;1Live;end_of_ad
01/16/2024 21:17:13;BremenNext;start_of_ad
01/16/2024 21:17:19;1Live;start_of_ad
01/16/2024 21:17:33;1Live;end_of_ad
01/16/2024 21:17:37;1Live;start_of_ad
01/16/2024 21:17:53;BremenNext;end_of_ad
01/16/2024 21:17:56;1Live;end_of_ad
01/16/2024 21:17:58;BremenNext;start_of_ad
01/16/2024 21:18:00;1Live;start_of_ad
01/16/2024 21:18:11;BremenNext;end_of_ad
01/16/2024 21:18:14;1Live;end_of_ad
01/16/2024 21:18:29;1Live;start_of_ad
01/16/2024 21:18:33;BremenNext;start_of_ad
01/16/2024 21:18:43;1Live;end_of_ad
01/16/2024 21:18:51;BremenNext;end_of_ad
01/16/2024 21:18:56;1Live;start_of_ad
01/16/2024 21:19:04;BremenNext;start_of_ad
01/16/2024 21:19:08;Radio RST;start_of_ad
