date;stationName;typeflag
01/18/2024 06:25:00;100,5;end_of_ad_artificial
01/18/2024 06:25:49;Radio RST;start_of_ad
01/18/2024 06:27:41;BremenNext;end_of_ad
01/18/2024 06:28:03;Radio RST;end_of_ad_artificial
01/18/2024 06:53:07;BremenNext;start_of_ad
01/18/2024 06:53:08;Radio RST;start_of_ad
01/18/2024 06:53:23;1Live;end_of_ad
01/18/2024 06:53:27;1Live;start_of_ad
01/18/2024 06:54:47;BremenNext;end_of_ad
01/18/2024 06:56:02;Radio RST;end_of_ad_artificial
01/18/2024 07:22:19;100,5;start_of_ad
01/18/2024 07:25:00;100,5;end_of_ad_artificial
01/18/2024 07:26:04;BremenNext;start_of_ad
01/18/2024 07:27:08;Radio RST;start_of_ad
01/18/2024 07:30:02;Radio RST;end_of_ad_artificial
01/18/2024 07:52:06;BremenNext;end_of_ad
01/18/2024 07:53:53;BremenNext;start_of_ad
01/18/2024 07:55:26;1Live;end_of_ad
01/18/2024 08:21:43;100,5;start_of_ad
01/18/2024 08:24:02;100,5;end_of_ad_artificial
01/18/2024 08:25:59;Radio RST;start_of_ad
01/18/2024 08:28:01;Radio RST;end_of_ad_artificial
01/18/2024 08:47:28;100,5;start_of_ad
01/18/2024 08:50:00;100,5;end_of_ad_artificial
01/18/2024 08:52:52;Radio RST;start_of_ad
01/18/2024 08:53:22;1Live;start_of_ad
01/18/2024 08:55:03;Radio RST;end_of_ad_artificial
01/18/2024 08:56:03;BremenNext;end_of_ad
01/18/2024 08:57:09;1Live;end_of_ad
01/18/2024 09:26:52;BremenNext;start_of_ad
01/18/2024 09:50:12;100,5;start_of_ad
01/18/2024 09:53:02;100,5;end_of_ad_artificial
01/18/2024 09:53:26;BremenNext;end_of_ad
01/18/2024 09:54:44;1Live;start_of_ad
01/18/2024 10:20:59;BremenNext;start_of_ad
01/18/2024 10:23:12;Radio RST;start_of_ad
01/18/2024 10:26:02;Radio RST;end_of_ad_artificial
01/18/2024 10:45:23;BremenNext;end_of_ad
01/18/2024 10:58:16;1Live;end_of_ad
01/18/2024 11:46:04;BremenNext;start_of_ad
01/18/2024 11:47:22;BremenNext;end_of_ad
01/18/2024 11:54:11;Radio RST;start_of_ad
01/18/2024 11:54:24;1Live;start_of_ad
01/18/2024 11:56:47;1Live;end_of_ad
01/18/2024 11:57:01;Radio RST;end_of_ad_artificial
01/18/2024 12:18:05;BremenNext;start_of_ad
01/18/2024 12:23:06;100,5;start_of_ad
01/18/2024 12:26:01;100,5;end_of_ad_artificial
01/18/2024 12:44:44;BremenNext;end_of_ad
01/18/2024 12:44:49;BremenNext;start_of_ad
01/18/2024 12:46:40;BremenNext;end_of_ad
01/18/2024 12:50:00;100,5;start_of_ad
01/18/2024 12:53:03;100,5;end_of_ad_artificial
01/18/2024 12:55:50;1Live;start_of_ad
01/18/2024 13:22:49;100,5;start_of_ad
01/18/2024 13:23:51;Radio RST;start_of_ad
01/18/2024 13:25:00;100,5;end_of_ad_artificial
01/18/2024 13:26:01;Radio RST;end_of_ad_artificial
01/18/2024 13:45:56;BremenNext;start_of_ad
01/18/2024 13:53:26;Radio RST;start_of_ad
01/18/2024 13:56:02;Radio RST;end_of_ad_artificial
01/18/2024 13:56:50;1Live;end_of_ad
01/18/2024 13:57:50;1Live;start_of_ad
01/18/2024 14:22:44;Radio RST;start_of_ad
01/18/2024 14:23:00;100,5;start_of_ad
01/18/2024 14:24:34;BremenNext;end_of_ad
01/18/2024 14:24:39;BremenNext;start_of_ad
01/18/2024 14:25:03;Radio RST;end_of_ad_artificial
01/18/2024 14:42:49;Radio RST;start_of_ad
01/18/2024 14:45:03;Radio RST;end_of_ad_artificial
